6.31	14.10
6.24	37.77
6.47	13.97
6.45	16.22
6.48	15.31
6.52	14.54
6.57	50.35
6.69	16.07
6.70	14.69
6.74	56.92
6.73	14.86
6.86	23.06
6.81	18.33
6.79	92.80
7.35	22.25
7.16	20.64
7.35	19.58
7.31	16.47
7.39	19.97
7.48	26.60
7.48	19.85
7.66	62.95
7.71	17.07
7.62	65.20
7.85	19.72
9.18	22.13
8.63	77.50
7.79	65.91
7.69	18.68
7.63	16.82
7.67	17.42
7.77	66.12
7.82	16.94
7.69	20.01
7.72	27.77
7.77	20.50
7.68	16.84
7.76	28.17
7.67	17.16
7.95	19.70
8.57	66.93
8.01	18.14
7.97	27.84
7.71	20.05
7.69	18.78
7.84	17.64
7.58	18.47
7.63	27.74
7.76	20.47
7.74	20.06
7.77	17.48
7.74	68.81
8.44	18.90
8.58	20.83
8.47	31.03
8.68	19.40
8.71	18.90
8.70	68.60
8.44	20.75
8.41	18.99
8.45	19.17
9.16	18.75
7.75	17.19
7.45	19.05
7.39	16.63
7.51	28.13
7.61	16.73
7.70	22.03
7.70	17.49
7.90	18.17
8.63	19.32
8.49	22.94
8.56	30.19
7.68	20.48
8.11	17.94
7.66	19.18
7.66	18.36
8.08	17.75
7.55	16.93
8.26	17.50
7.20	26.22
7.14	17.75
7.19	16.09
7.03	16.95
7.57	20.32
7.29	25.89
7.21	19.78
7.26	16.68
7.25	16.22
7.31	62.25
7.46	20.21
7.21	17.60
7.08	19.06
7.25	16.47
7.17	16.02
7.28	19.61
7.31	16.31
7.27	19.92
7.26	19.00
7.30	16.52
7.36	46.24
7.20	16.15
7.45	64.24
7.44	16.77
7.41	20.45
7.32	18.96
7.34	16.56
