0.19	2.46
0.20	1.79
0.16	0.39
0.24	0.71
0.19	0.49
0.16	0.40
0.19	2.15
0.17	0.54
0.16	0.39
0.16	0.37
0.23	2.73
0.16	0.38
0.17	0.90
0.16	0.54
0.22	1.95
0.18	0.66
0.16	0.58
0.18	0.73
0.17	0.44
0.17	0.51
0.19	0.97
0.19	2.43
0.41	2.47
0.20	1.25
0.18	0.42
0.42	2.84
0.18	0.47
0.26	0.59
0.27	2.01
0.25	2.44
0.18	0.51
0.18	0.40
0.18	1.03
0.17	0.39
0.24	2.06
0.16	1.08
0.18	2.03
0.20	0.93
0.16	0.50
0.16	1.02
0.19	0.94
0.16	0.39
0.16	0.47
0.23	1.91
0.16	1.12
0.17	1.12
0.19	0.94
0.18	0.61
0.17	0.37
0.16	0.39
0.16	0.37
0.16	1.09
0.16	0.37
0.18	0.94
0.17	0.55
0.17	0.36
0.16	1.05
0.16	0.36
0.24	1.84
0.16	0.39
0.16	2.01
0.19	1.01
0.17	0.38
0.16	0.53
0.25	1.85
0.16	1.50
0.16	0.36
0.16	0.93
0.16	1.36
0.16	1.06
0.17	1.21
0.18	0.53
0.16	2.49
0.16	0.40
0.19	0.96
0.16	0.98
0.17	0.50
0.16	0.42
0.16	0.42
0.16	1.04
0.17	0.53
0.20	0.96
0.18	0.54
0.23	0.51
0.53	0.81
0.22	1.12
0.17	1.44
0.18	0.70
0.25	0.81
0.20	1.08
0.20	0.97
0.19	1.54
0.17	0.40
0.17	0.86
0.17	0.54
0.19	0.90
0.18	0.54
0.21	0.47
0.16	1.07
0.24	2.07
0.17	0.50
0.17	0.46
0.17	5.50
0.19	0.43
0.16	0.37
0.17	3.83
0.17	1.08
0.17	3.26
0.19	6.34
0.17	0.40
0.16	1.03
0.16	1.07
0.24	1.81
0.17	0.41
0.17	0.53
0.18	0.55
0.19	1.18
0.16	0.39
