3.38	7.77
3.49	22.51
3.44	7.29
3.41	8.90
3.42	8.25
3.45	8.12
3.51	27.49
3.48	8.42
3.49	7.67
3.41	7.79
3.54	34.38
3.52	7.59
3.42	11.79
3.54	9.15
3.57	26.72
3.59	10.33
3.62	9.82
3.49	9.08
3.62	8.00
4.79	10.92
3.65	12.61
3.64	9.14
3.70	26.16
3.62	7.86
3.73	7.95
4.24	27.99
3.70	8.09
3.66	8.73
3.76	27.75
3.81	28.82
3.68	8.82
3.72	8.28
3.63	8.26
3.67	7.91
3.76	27.68
3.61	8.13
3.74	9.83
3.70	12.62
3.72	9.67
3.64	7.91
3.68	10.68
3.63	8.06
3.63	9.07
3.75	28.28
3.59	8.04
3.59	8.22
3.64	14.82
3.96	10.27
3.86	9.49
3.76	8.57
3.73	8.64
3.70	8.54
3.65	9.11
3.65	13.51
3.63	9.73
3.62	9.56
3.65	8.62
3.64	8.08
3.73	28.32
3.65	8.39
3.63	9.24
3.70	11.19
3.70	19.13
3.62	8.22
3.75	29.22
3.69	10.28
3.62	8.18
3.78	8.75
3.68	8.35
3.68	8.67
3.63	8.20
3.65	10.10
3.82	8.45
3.71	8.49
3.70	14.19
3.58	8.16
3.68	9.99
3.71	8.44
3.70	8.53
3.76	8.30
3.80	10.64
3.75	11.68
3.60	10.23
3.75	8.54
3.80	9.50
3.77	8.66
3.74	8.47
3.76	8.49
3.71	8.48
3.73	8.71
3.76	11.28
3.75	9.28
3.76	8.61
3.70	8.42
3.77	10.63
3.94	15.72
3.80	10.57
3.83	8.72
3.72	8.47
3.87	30.47
3.78	10.65
3.78	9.53
3.76	10.30
3.78	8.89
3.88	8.51
3.77	10.42
3.82	8.60
3.81	10.39
3.83	9.82
3.77	8.68
3.88	17.60
3.72	8.49
3.80	31.08
3.80	8.58
3.76	10.36
3.72	10.14
3.75	8.34
3.69	8.43
